group,n,destination_rate,leak_mean,vessel_cells_mean,forward_extent_mean,lateral_deviation_mean,route_efficiency_mean,destination_gain_vs_neutral
demand_only,200,0.995,0.043954917210254366,423.63,43.88,3.8851559004117484,0.4587889480484913,0.050000000000000044
dual_closed_loop,200,1.0,0.0,416.7,43.95,3.5388948938576106,0.46982659989087966,0.05500000000000005
dual_separated,200,1.0,0.0,413.94,43.935,3.475840061321554,0.4738819731676085,0.05500000000000005
neutral,200,0.945,0.0,387.48,43.745,4.46907032156601,0.4897125488491707,0.0
support_only,200,0.995,0.0,386.65,43.865,3.7413255803263126,0.5054400176328275,0.050000000000000044
uniform_mix,200,0.995,0.0,537.815,43.9,4.686887006888854,0.3545700194072794,0.050000000000000044
